hid,front,back,side,inside,combo,trees,sky,grass,score,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,redfin est,listed price,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,comments
57,1,,,,,1,1,1,3,PAST SALE,July-17-2020,Single Family Residential,1625 Stowe Rd,720015,700000,Reston,VA,20194,710000,4,3.5,RESTON,2468,8472,1984,16,288,59,Sold,,,http://www.redfin.com/VA/Reston/1625-Stowe-Rd-20194/home/9226814,BRIGHT MLS,VAFX1131012,N,Y,38.9701491,-77.3502764,
58,,,1,,,,,,2,PAST SALE,July-6-2020,Condo/Co-op,12000 Market St #411,386858,374900,Reston,VA,20190,385000,1,1,SAVOY AT RESTON TOWN CEN,891,,2004,27,432,405,Sold,,,http://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-411/home/9848895,BRIGHT MLS,VAFX1131200,N,Y,38.9602738,-77.3628027,
59,,,1,,,,,,1,PAST SALE,July-7-2020,Condo/Co-op,11801 Breton Ct Unit 11B,247506,245000,Reston,VA,20191,245000,2,1,HUNTERS WOODS VILLAGE,1073,,1972,26,228,424,Sold,,,http://www.redfin.com/VA/Reston/11801-Breton-Ct-20191/unit-11B/home/9331642,BRIGHT MLS,VAFX1108122,N,Y,38.9352469,-77.358277,
60,1,,1,,,1,1,1,3,PAST SALE,July-7-2020,Single Family Residential,1151 Meadowlook Ct,1001373,1029000,Reston,VA,20194,950000,5,4.5,PINEY RUN MEADOW,5252,38117,1997,26,181,42,Sold,,,http://www.redfin.com/VA/Reston/1151-Meadowlook-Ct-20194/home/9152685,BRIGHT MLS,VAFX1122670,N,Y,38.9888011,-77.3298176,
61,1,,,,,1,,,1,PAST SALE,July-10-2020,Townhouse,11487 Heritage Commons Way,530294,519000,Reston,VA,20194,532000,3,3.5,RESTON SEC 75 BLK 4A VIN,1638,1242,1996,23,325,93,Sold,,,http://www.redfin.com/VA/Reston/11487-Heritage-Commons-Way-20194/home/9124702,BRIGHT MLS,VAFX1123724,N,Y,38.98805,-77.343998,
62,1,,,,,1,1,1,3,PAST SALE,July-27-2020,Single Family Residential,2011 Beacon Pl,789363,785000,Reston,VA,20191,775000,3,2.5,RESTON,2892,5826,1997,6,268,233,Sold,,,http://www.redfin.com/VA/Reston/2011-Beacon-Pl-20191/home/9354706,BRIGHT MLS,VAFX1132464,N,Y,38.9371467,-77.3278433,
63,1,,,,,1,1,1,4,PAST SALE,July-20-2020,Townhouse,11738 Dry River Ct,483533,468000,Reston,VA,20191,480000,3,3,RESTON SEC 48 GLADE COUR,1452,1540,1979,13,331,184,Sold,,,http://www.redfin.com/VA/Reston/11738-Dry-River-Ct-20191/home/9335839,BRIGHT MLS,VAFX1134932,N,Y,38.931342,-77.352305,
64,1,,,,,1,,,2,PAST SALE,July-29-2020,Condo/Co-op,11709 Karbon Hill Ct Unit 604A,304924,305000,Reston,VA,20191,305000,2,2,BRISTOL HOUSE CONDO,1136,,1986,4,268,399,Sold,,,http://www.redfin.com/VA/Reston/11709-Karbon-Hill-Ct-20191/unit-604A/home/9345226,BRIGHT MLS,VAFX1135520,N,Y,38.933769,-77.351915,
65,1,,,,,1,,1,4,PAST SALE,July-31-2020,Single Family Residential,2406 Sweetbay Ln,758938,769029,Reston,VA,20191,750000,5,3.5,RESTON,3200,14374,1969,2,234,59,Sold,,,http://www.redfin.com/VA/Reston/2406-Sweetbay-Ln-20191/home/9349066,BRIGHT MLS,VAFX1124540,N,Y,38.9256375,-77.345678,
66,1,,,,,1,1,,3,PAST SALE,July-13-2020,Townhouse,13011 Park Crescent Cir,521561,499900,Herndon,VA,20171,520000,3,3,WOODLAND PARK,2448,1332,1999,20,212,140,Sold,,,http://www.redfin.com/VA/Herndon/13011-Park-Crescent-Cir-20171/home/9208318,BRIGHT MLS,VAFX1132344,N,Y,38.946434,-77.394121,
67,1,,,,,1,1,1,2,PAST SALE,July-30-2020,Condo/Co-op,12945 Centre Park Cir #302,242450,244900,Herndon,VA,20171,238000,1,1,BRYSON AT WOODLAND PARK,664,,2005,3,358,269,Sold,,,http://www.redfin.com/VA/Herndon/12945-Centre-Park-Cir-20171/unit-302/home/12073083,BRIGHT MLS,VAFX1135656,N,Y,38.9503371,-77.3911444,
68,1,,,,,,,1,2,PAST SALE,July-7-2020,Townhouse,1650 Harvest Green Ct,407187,409900,Reston,VA,20194,412300,2,1.5,RESTON SEC 49 BLK 3A 3B,930,1023,1983,26,443,90,Sold,,,http://www.redfin.com/VA/Reston/1650-Harvest-Green-Ct-20194/home/9137138,BRIGHT MLS,VAFX1134360,N,Y,38.9758489,-77.353482,
69,1,,,,,1,,,3,PAST SALE,July-20-2020,Townhouse,1626 Waters Edge Ln,808063,815000,Reston,VA,20190,780000,3,3.5,RESTON SEC 17 BLK 2A,1740,3669,1971,13,448,150,Sold,,,http://www.redfin.com/VA/Reston/1626-Waters-Edge-Ln-20190/home/9224030,BRIGHT MLS,VAFX1130560,N,Y,38.96624,-77.337953,
70,1,,,,,1,,,2,PAST SALE,July-10-2020,Single Family Residential,11693 Stockbridge Ln,715409,709900,Reston,VA,20194,709900,4,3.5,RESTON,2352,8512,1985,23,302,59,Sold,,,http://www.redfin.com/VA/Reston/11693-Stockbridge-Ln-20194/home/9227202,BRIGHT MLS,VAFX1130884,N,Y,38.9690799,-77.3507699,
71,1,,,,,1,1,,3,PAST SALE,July-10-2020,Townhouse,11432 Waterview Cluster,897908,875000,Reston,VA,20190,875000,4,3,RESTON PCL 9 SEC 1,1836,2840,1965,23,477,214,Sold,,,http://www.redfin.com/VA/Reston/11432-Waterview-Cluster-20190/home/9219299,BRIGHT MLS,VAFX1126354,N,Y,38.966896,-77.34135,
72,1,,,,,1,1,1,4,PAST SALE,July-10-2020,Townhouse,1512 Deer Point Way,603306,599999,Reston,VA,20194,600000,4,3.5,RESTON SEC 39 BLK 5,1860,2250,1988,23,323,100,Sold,,,http://www.redfin.com/VA/Reston/1512-Deer-Point-Way-20194/home/9132893,BRIGHT MLS,VAFX1122590,N,Y,38.980009,-77.356388,
73,,,,1,,,,,1,PAST SALE,July-15-2020,Condo/Co-op,12000 Market St #465,415162,425000,Reston,VA,20190,410000,1,1.5,SAVOY AT RESTON TOWN CEN,1038,,2004,18,395,445,Sold,,,http://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-465/home/28550416,BRIGHT MLS,VAFX1124576,N,Y,38.9596725,-77.3628595,
74,1,,,1,1,1,,,3,PAST SALE,July-22-2020,Townhouse,11414 Fairway Dr,567282,525000,Reston,VA,20190,540000,3,3,RESTON SEC 1,2030,1701,1979,11,266,59,Sold,,,http://www.redfin.com/VA/Reston/11414-Fairway-Dr-20190/home/9225167,BRIGHT MLS,VAFX1133342,N,Y,38.9633589,-77.340945,
75,1,,,,,1,,1,3,PAST SALE,July-27-2020,Single Family Residential,10816 Hunt Club Rd,599890,679900,Reston,VA,20190,641786,4,2.5,RESTON,2496,11540,1970,6,257,61,Sold,,,http://www.redfin.com/VA/Reston/10816-Hunt-Club-Rd-20190/home/9157346,BRIGHT MLS,VAFX1125518,N,Y,38.9723355,-77.3212472,
76,1,,,,,1,1,,3,PAST SALE,July-16-2020,Townhouse,11485 Waterhaven Ct,675083,679900,Reston,VA,20190,660000,3,3,TOWNES AT WATERFORD,1974,2457,1998,17,334,139,Sold,,,http://www.redfin.com/VA/Reston/11485-Waterhaven-Ct-20190/home/9231653,BRIGHT MLS,VAFX1112074,N,Y,38.96412,-77.342758,
77,1,,,,,1,1,,1,PAST SALE,July-24-2020,Condo/Co-op,12000 Market St #380,299699,298000,Reston,VA,20190,298000,1,1,SAVOY AT RESTON TOWN CEN,754,,2004,9,395,361,Sold,,,http://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-380/home/9848880,BRIGHT MLS,VAFX1137422,N,Y,38.9602738,-77.3628027,
78,1,,,,,1,,1,3,PAST SALE,July-16-2020,Townhouse,1550 Twisted Oak Dr,426104,395000,Reston,VA,20194,395550,3,2.5,RESTON SEC 39 BLK 2 BLK,1340,2224,1987,17,295,194,Sold,,,http://www.redfin.com/VA/Reston/1550-Twisted-Oak-Dr-20194/home/9831996,BRIGHT MLS,VAFX1134428,N,Y,38.9771032,-77.3552447,
79,1,,,,,1,,,2,PAST SALE,July-31-2020,Townhouse,1393 Park Garden Ln,595562,596500,Reston,VA,20194,596500,3,3.5,RESTON SEC 63 BLK 3 PARK,2106,1765,1993,2,283,100,Sold,,,http://www.redfin.com/VA/Reston/1393-Park-Garden-Ln-20194/home/9149020,BRIGHT MLS,VAFX1130856,N,Y,38.982924,-77.343637,
80,1,,,,,1,1,1,4,PAST SALE,July-17-2020,Townhouse,11178 Forest Edge Dr,473884,445000,Reston,VA,20190,465000,3,2.5,RESTON SEC 9 BLK 1 OF RE,1550,1519,1967,16,300,117,Sold,,,http://www.redfin.com/VA/Reston/11178-Forest-Edge-Dr-20190/home/9241512,BRIGHT MLS,VAFX1131032,N,Y,38.9699646,-77.331876,
81,1,,,,,1,,,3,PAST SALE,July-31-2020,Townhouse,11402 Orchard Green Ct,599891,625000,Reston,VA,20190,610000,3,2.5,RESTON SEC 1,1580,1745,1983,2,386,59,Sold,,,http://www.redfin.com/VA/Reston/11402-Orchard-Green-Ct-20190/home/9225326,BRIGHT MLS,VAFX1137146,N,Y,38.9641402,-77.3401246,
82,1,,,,,1,,1,1,PAST SALE,July-7-2020,Townhouse,11287 Silentwood Ln,404695,400000,Reston,VA,20191,410000,2,2.5,RESTON SEC 76 BLK 2A WHI,1224,916,1984,26,335,90,Sold,,,http://www.redfin.com/VA/Reston/11287-Silentwood-Ln-20191/home/9344362,BRIGHT MLS,VAFX1132776,N,Y,38.932845,-77.334958,
83,1,,,,,1,,1,3,PAST SALE,July-20-2020,Single Family Residential,2124 Salt Kettle Way,658335,639900,Reston,VA,20191,650000,3,3.5,RESTON,2192,5389,1983,13,297,104,Sold,,,http://www.redfin.com/VA/Reston/2124-Salt-Kettle-Way-20191/home/9343759,BRIGHT MLS,VAFX1133582,N,Y,38.9336364,-77.3346186,
84,1,,,,,1,,1,2,PAST SALE,July-15-2020,Townhouse,10970 Granby Ct,457132,449999,Reston,VA,20191,450000,3,2.5,RESTON SEC 82 BLK 1A,1555,1400,1983,18,289,132,Sold,,,http://www.redfin.com/VA/Reston/10970-Granby-Ct-20191/home/9355313,BRIGHT MLS,VAFX1127864,N,Y,38.937841,-77.325078,
85,1,,,,,1,,,2,PAST SALE,July-20-2020,Townhouse,2344 Generation Dr,467498,440000,Reston,VA,20191,452500,3,3.5,GENERATION SEC 3 BLK 1C,2187,1700,1974,13,207,127,Sold,,,http://www.redfin.com/VA/Reston/2344-Generation-Dr-20191/home/9351414,BRIGHT MLS,VAFX1135900,N,Y,38.928676,-77.3507149,
86,1,,,,,1,,,4,PAST SALE,July-10-2020,Single Family Residential,12123 Basset Ln,675722,639900,Reston,VA,20191,640000,4,3,RESTON,2275,12944,1965,23,281,59,Sold,,,http://www.redfin.com/VA/Reston/12123-Basset-Ln-20191/home/9345862,BRIGHT MLS,VAFX1130242,Y,Y,38.9291469,-77.3665153,
87,1,,,,,1,1,1,4,PAST SALE,July-23-2020,Single Family Residential,2021 Beacon Pl,814792,849999,Reston,VA,20191,785000,4,3.5,RESTON,3066,5684,1996,10,256,133,Sold,,,http://www.redfin.com/VA/Reston/2021-Beacon-Pl-20191/home/9354722,BRIGHT MLS,VAFX1112576,N,Y,38.9364897,-77.3277087,
